match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,matchID
Gujarat Giants Women Vs Mumbai Indians Women,Gujarat Giants Women,Ashleigh Gardner,4,0,38,1,9.50,7,7,0,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Gujarat Giants Women,Mansi Joshi,2,0,17,0,8.50,7,2,1,1,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Gujarat Giants Women,Tanuja Kanwar,2,0,12,1,6.00,6,2,0,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Gujarat Giants Women,Monica Patel,2,0,34,0,17.00,1,7,0,2,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Gujarat Giants Women,Georgia Wareham,3,0,30,1,10.00,6,4,1,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Gujarat Giants Women,Annabel Sutherland,3,0,32,0,10.66,8,4,2,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Gujarat Giants Women,Sneh Rana,4,0,43,2,10.75,7,5,2,1,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Mumbai Indians Women,Nat Sciver-Brunt,2,0,5,2,2.50,8,0,0,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Mumbai Indians Women,Issy Wong,3,0,7,1,2.33,13,0,0,1,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Mumbai Indians Women,Saika Ishaque,3.1,1,11,4,3.47,14,2,0,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Mumbai Indians Women,Amelia Kerr,2,1,12,2,6.00,8,1,1,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Mumbai Indians Women,Pooja Vastrakar,2,0,9,0,4.50,9,0,1,1,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Mumbai Indians Women,Jintimani Kalita,2,0,12,0,6.00,4,1,0,0,0,WT20#12
Gujarat Giants Women Vs Mumbai Indians Women,Mumbai Indians Women,Hayley Matthews,1,0,8,0,8.00,2,1,0,0,0,WT20#12
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Royal Challengers Bangalore Women,Renuka Singh,3,0,24,0,8.00,8,4,0,0,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Royal Challengers Bangalore Women,Megan Schutt,4,0,45,0,11.25,4,8,0,0,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Royal Challengers Bangalore Women,Preeti Bose,4,0,35,0,8.75,9,5,1,0,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Royal Challengers Bangalore Women,Ellyse Perry,3,0,29,0,9.66,4,3,1,1,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Royal Challengers Bangalore Women,Sophie Devine,1,0,20,0,20.00,1,4,0,2,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Royal Challengers Bangalore Women,Sobhana Asha,2,0,29,0,14.50,2,3,2,0,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Royal Challengers Bangalore Women,Heather Knight,3,0,40,2,13.33,4,3,3,1,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Delhi Capitals Women,Shikha Pandey,4,0,35,1,8.75,9,6,0,2,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Delhi Capitals Women,Marizanne Kapp,4,0,36,0,9.00,10,3,2,1,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Delhi Capitals Women,Jess Jonassen,4,0,28,0,7.00,9,4,0,0,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Delhi Capitals Women,Alice Capsey,2,0,10,2,5.00,5,1,0,0,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Delhi Capitals Women,Radha Yadav,2,0,24,0,12.00,2,4,0,0,0,WT20#11
Royal Challengers Bangalore Women Vs Delhi Capitals Women,Delhi Capitals Women,Tara Norris,4,0,29,5,7.25,9,3,1,0,0,WT20#11
UP Warriorz Women Vs Gujarat Giants Women,UP Warriorz Women,Rajeshwari Gayakwad,4,0,30,0,7.50,9,4,0,0,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,UP Warriorz Women,Anjali Sarvani,4,0,43,1,10.75,8,7,0,3,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,UP Warriorz Women,Deepti Sharma,4,0,27,2,6.75,12,2,1,2,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,UP Warriorz Women,Sophie Ecclestone,4,0,25,2,6.25,12,2,1,0,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,UP Warriorz Women,Tahlia McGrath,2,0,18,1,9.00,5,2,0,1,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,UP Warriorz Women,Devika Vaidya,2,0,24,0,12.00,1,4,0,0,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,Gujarat Giants Women,Kim Garth,4,0,36,5,9.00,11,6,0,2,1,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,Gujarat Giants Women,Tanuja Kanwar,4,0,29,0,7.25,10,1,2,1,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,Gujarat Giants Women,Ashleigh Gardner,4,0,34,0,8.50,7,3,1,0,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,Gujarat Giants Women,Annabel Sutherland,3.5,0,41,1,10.69,7,4,2,2,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,Gujarat Giants Women,Sneh Rana,2,0,16,0,8.00,4,0,1,1,0,WT20#17
UP Warriorz Women Vs Gujarat Giants Women,Gujarat Giants Women,Mansi Joshi,2,0,15,1,7.50,2,1,0,0,0,WT20#17
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Mumbai Indians Women,Hayley Matthews,4,0,28,3,7.00,11,3,1,1,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Mumbai Indians Women,Nat Sciver-Brunt,3,0,34,1,11.33,7,4,1,2,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Mumbai Indians Women,Saika Ishaque,4,0,26,2,6.50,14,5,0,1,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Mumbai Indians Women,Issy Wong,2,0,18,0,9.00,6,4,0,0,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Mumbai Indians Women,Amelia Kerr,3.4,0,30,2,8.18,9,2,2,0,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Mumbai Indians Women,Jintimani Kalita,1,0,10,0,10.00,3,2,0,1,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Mumbai Indians Women,Pooja Vastrakar,1,0,8,1,8.00,2,1,0,0,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Royal Challengers Bangalore Women,Renuka Singh,3,0,28,0,9.33,5,5,0,0,0,WT20#19
Mumbai Indians Women Vs Royal Challengers Bangalore Women,Royal Challengers Bangalore Women,Preeti Bose,4,0,34,1,8.50,7,4,1,0,0,WT20#19
