name,team,battingStyle,bowlingStyle/WK,playingRole,image,,
Yastika Bhatia,Mumbai Indians Women ,Left hand Bat,Wicketkeeper,Middle order Batter,https://www.wplt20.com/static-assets/images/players/73424.png?v=30.23,,
Hayley Matthews,Mumbai Indians Women ,Right hand Bat,Right arm Offbreak,Opening Batter,https://www.wplt20.com/static-assets/images/players/64970.png?v=30.23 ,,
Nat Sciver-Brunt,Mumbai Indians Women ,Right hand Bat,Right arm Medium,Allrounder,https://www.wplt20.com/static-assets/images/players/63998.png?v=30.23,,
Harmanpreet Kaur,Mumbai Indians Women ,Right hand Bat,Right arm Offbreak,Allrounder,https://www.wplt20.com/static-assets/images/players/59348.png?v=30.23,,
Amelia Kerr,Mumbai Indians Women ,Right hand Bat,Legbreak,Allrounder,https://www.wplt20.com/static-assets/images/players/66632.png?v=30.23,,
Pooja Vastrakar,Mumbai Indians Women ,Right hand Bat,Right arm Medium,Bowler,https://www.wplt20.com/static-assets/images/players/68423.png?v=30.23,,
Issy Wong,Mumbai Indians Women ,Right hand Bat,Right arm Fast medium,Bowler,https://www.wplt20.com/static-assets/images/players/72861.png?v=30.23,,
Sabbhineni Meghana,Gujarat Giants Women ,Right hand Bat,Right arm Medium,Opening Batter,https://www.wplt20.com/static-assets/images/players/66677.png?v=30.23,,
Beth Mooney,Gujarat Giants Women ,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,https://www.wplt20.com/static-assets/images/players/64853.png?v=30.23,,
Harleen Deol,Gujarat Giants Women ,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Middle order Batter,https://www.wplt20.com/static-assets/images/players/70726.png?v=30.23,,
Ashleigh Gardner,Gujarat Giants Women ,Right hand Bat,Right arm Offbreak,Allrounder,https://www.wplt20.com/static-assets/images/players/67023.png?v=30.23,,
Annabel Sutherland,Gujarat Giants Women ,Right hand Bat,Right arm Medium fast,Allrounder,https://www.wplt20.com/static-assets/images/players/67045.png?v=30.23,,
Dayalan Hemalatha,Gujarat Giants Women ,Right hand Bat,Right arm Offbreak,Top order Batter,https://www.wplt20.com/static-assets/images/players/69399.png?v=30.23,,
Georgia Wareham,Gujarat Giants Women ,Right hand Bat,Legbreak,Bowler,https://www.wplt20.com/static-assets/images/players/67047.png?v=30.23,,
Sneh Rana,Gujarat Giants Women ,Right hand Bat,Right arm Offbreak,Bowling Allrounder,https://www.wplt20.com/static-assets/images/players/64550.png?v=30.23,,
Tanuja Kanwar,Gujarat Giants Women ,Left hand Bat,Slow Left arm Orthodox,Bowler,https://www.wplt20.com/static-assets/images/players/70721.png?v=30.23,,
Mansi Joshi,Gujarat Giants Women ,Right hand Bat,Right arm Medium fast,Bowler,https://www.wplt20.com/static-assets/images/players/66667.png?v=30.23,,
Monica Patel,Gujarat Giants Women ,Left hand Bat,Left arm Medium,,https://www.wplt20.com/static-assets/images/players/71489.png?v=30.23 ,,
Saika Ishaque,Mumbai Indians Women ,Left hand Bat,Slow Left arm Orthodox,Bowler,https://www.wplt20.com/static-assets/images/players/100194.png?v=30.23 ,,
Jintimani Kalita,Mumbai Indians Women ,Left hand Bat,Right arm Medium fast,Bowler,https://www.wplt20.com/static-assets/images/players/89193.png?v=30.23 ,,
Meg Lanning,Delhi Capitals Women ,Right hand Bat,Right arm Medium,Top order Batter,https://www.wplt20.com/static-assets/images/players/57908.png?v=30.23 ,,
Shafali Verma,Delhi Capitals Women ,Right hand Bat,Right arm Offbreak,Opening Batter,https://www.wplt20.com/static-assets/images/players/70772.png?v=30.23 ,,
Marizanne Kapp,Delhi Capitals Women ,Right hand Bat,Right arm Medium,Allrounder,https://www.wplt20.com/static-assets/images/players/7759.png?v=30.23 ,,
Jemimah Rodrigues,Delhi Capitals Women ,Right hand Bat,Right arm Offbreak,Middle order Batter,https://www.wplt20.com/static-assets/images/players/68442.png?v=30.23 ,,
Smriti Mandhana,Royal Challengers Bangalore Women ,Left hand Bat,Right arm Offbreak,Opening Batter,https://www.wplt20.com/static-assets/images/players/63992.png?v=30.23 ,,
Sophie Devine,Royal Challengers Bangalore Women ,Right hand Bat,Right arm Medium,Batting Allrounder,https://www.wplt20.com/static-assets/images/players/62067.png?v=30.23,,
Ellyse Perry,Royal Challengers Bangalore Women ,Right hand Bat,Right arm Fast medium,Allrounder,https://www.wplt20.com/static-assets/images/players/59956.png?v=30.23 ,,
Disha Kasat,Royal Challengers Bangalore Women ,Right hand Bat,Right arm Medium fast,Middle order Batter,https://www.wplt20.com/static-assets/images/players/84129.png?v=30.23 ,,
Richa Ghosh,Royal Challengers Bangalore Women ,Right hand Bat,Right arm Medium,Wicketkeeper Batter,https://www.wplt20.com/static-assets/images/players/74530.png?v=30.23 ,,
Heather Knight,Royal Challengers Bangalore Women ,Right hand Bat,Right arm Offbreak,Middle order Batter,https://www.wplt20.com/static-assets/images/players/59735.png?v=30.23 ,,
Kanika Ahuja,Royal Challengers Bangalore Women ,Left hand Bat,Right arm Offbreak,Allrounder,https://www.wplt20.com/static-assets/images/players/84086.png?v=30.23 ,,
Sobhana Asha,Royal Challengers Bangalore Women ,Right hand Bat,Legbreak Googly,Allrounder,https://www.wplt20.com/static-assets/images/players/75591.png?v=30.23 ,,
Megan Schutt,Royal Challengers Bangalore Women ,Right hand Bat,Right arm Fast medium,Bowler,https://www.wplt20.com/static-assets/images/players/63467.png?v=30.23 ,,
Preeti Bose,Royal Challengers Bangalore Women ,Right hand Bat,Slow Left arm Orthodox,Bowler,https://www.wplt20.com/static-assets/images/players/66157.png?v=30.23 ,,
Renuka Singh,Royal Challengers Bangalore Women ,Right hand Bat,Right arm Medium fast,Bowler,https://www.wplt20.com/static-assets/images/players/70714.png?v=30.23 ,,
Shikha Pandey,Delhi Capitals Women ,Right hand Bat,Right arm Medium,Allrounder,https://www.wplt20.com/static-assets/images/players/64755.png?v=30.23 ,,
Jess Jonassen,Delhi Capitals Women ,Left hand Bat,Slow Left arm Orthodox,Bowler,https://www.wplt20.com/static-assets/images/players/57717.png?v=30.23 ,,
Alice Capsey,Delhi Capitals Women ,Right hand Bat,Right arm Offbreak,Batting Allrounder,https://www.wplt20.com/static-assets/images/players/80602.png?v=30.23 ,,
Radha Yadav,Delhi Capitals Women ,Right hand Bat,Slow Left arm Orthodox,Bowler,https://www.wplt20.com/static-assets/images/players/68441.png?v=30.23 ,,
